timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648556724305,58,HTTPRequest-1,200,OK,Thread Group 1-17,text,true,,1866,116,1,1,https://reqres.in/api/users,58,0,38
1648556725027,82,HTTPRequest,200,OK,Thread Group 1-18,text,true,,2523,321,1,1,https://reqres.in/api/users,25,0,9
1648556725027,25,HTTPRequest-0,301,Moved Permanently,Thread Group 1-18,,true,,655,205,1,1,http://reqres.in/api/users,25,0,9
1648556725053,56,HTTPRequest-1,200,OK,Thread Group 1-18,text,true,,1868,116,1,1,https://reqres.in/api/users,56,0,32
1648556725777,93,HTTPRequest,200,OK,Thread Group 1-19,text,true,,2523,321,1,1,https://reqres.in/api/users,28,0,9
1648556725777,28,HTTPRequest-0,301,Moved Permanently,Thread Group 1-19,,true,,661,205,1,1,http://reqres.in/api/users,28,0,9
1648556725808,62,HTTPRequest-1,200,OK,Thread Group 1-19,text,true,,1862,116,1,1,https://reqres.in/api/users,62,0,36
1648556726527,91,HTTPRequest,200,OK,Thread Group 1-20,text,true,,2519,321,1,1,https://reqres.in/api/users,27,0,10
1648556726527,27,HTTPRequest-0,301,Moved Permanently,Thread Group 1-20,,true,,659,205,1,1,http://reqres.in/api/users,27,0,10
1648556726557,61,HTTPRequest-1,200,OK,Thread Group 1-20,text,true,,1860,116,1,1,https://reqres.in/api/users,61,0,41
